index,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,demand,2030,1,1,1,3.6500000000000004
2,demand,2030,1,2,2,3.6500000000000004
3,demand,2030,1,3,3,3.6500000000000004
4,demand,2030,1,4,4,3.6500000000000004
5,demand,2030,1,5,5,3.6500000000000004
6,demand,2030,1,6,6,3.6500000000000004
7,demand,2030,1,7,7,3.6500000000000004
8,demand,2030,1,8,8,3.6500000000000004
9,demand,2030,1,9,9,3.6500000000000004
10,demand,2030,1,10,10,3.6500000000000004
11,demand,2030,1,11,11,3.6500000000000004
12,demand,2030,1,12,12,3.6500000000000004
13,demand,2030,1,13,13,3.6500000000000004
14,demand,2030,1,14,14,3.6500000000000004
15,demand,2030,1,15,15,3.6500000000000004
16,demand,2030,1,16,16,3.6500000000000004
17,demand,2030,1,17,17,3.6500000000000004
18,demand,2030,1,18,18,3.6500000000000004
19,demand,2030,1,19,19,3.6500000000000004
20,demand,2030,1,20,20,13.139999999999999
21,demand,2030,1,21,21,13.139999999999999
22,demand,2030,1,22,22,13.139999999999999
23,demand,2030,1,23,23,13.139999999999999
24,demand,2030,1,24,24,13.139999999999999
25,demand,2030,2,1,1,9.125
26,demand,2030,2,2,2,0.1825
27,demand,2030,2,3,3,0.1825
28,demand,2030,2,4,4,0.1825
29,demand,2030,2,5,5,0.1825
30,demand,2030,2,6,6,0.1825
31,demand,2030,2,7,7,0.1825
32,demand,2030,2,8,8,0.1825
33,demand,2030,2,9,9,9.125
34,demand,2030,2,10,10,9.125
35,demand,2030,2,11,11,0.1825
36,demand,2030,2,12,12,0.1825
37,demand,2030,2,13,13,0.1825
38,demand,2030,2,14,14,9.125
39,demand,2030,2,15,15,9.125
40,demand,2030,2,16,16,9.125
41,demand,2030,2,17,17,9.125
42,demand,2030,2,18,18,9.125
43,demand,2030,2,19,19,9.125
44,demand,2030,2,20,20,9.125
45,demand,2030,2,21,21,9.125
46,demand,2030,2,22,22,9.125
47,demand,2030,2,23,23,9.125
48,demand,2030,2,24,24,9.125
49,demand,2030,3,1,1,0.1095
50,demand,2030,3,2,2,0.1095
51,demand,2030,3,3,3,0.1095
52,demand,2030,3,4,4,0.1095
53,demand,2030,3,5,5,0.1095
54,demand,2030,3,6,6,0.1095
55,demand,2030,3,7,7,0.1095
56,demand,2030,3,8,8,0.1095
57,demand,2030,3,9,9,0.1095
58,demand,2030,3,10,10,0.1095
59,demand,2030,3,11,11,0.1095
60,demand,2030,3,12,12,0.1095
61,demand,2030,3,13,13,0.1095
62,demand,2030,3,14,14,0.1095
63,demand,2030,3,15,15,0.1095
64,demand,2030,3,16,16,0.1095
65,demand,2030,3,17,17,0.1095
66,demand,2030,3,18,18,0.1095
67,demand,2030,3,19,19,0.1095
68,demand,2030,3,20,20,0.1095
69,demand,2030,3,21,21,0.1095
70,demand,2030,3,22,22,0.1095
71,demand,2030,3,23,23,0.1095
72,demand,2030,3,24,24,0.1095
